id,content,event_id
1569,Individual participations only.,137
1570,Each battle features two dancers facing off in a head-to-head challenge.,137
1571,"Battle Format: Each round, the music genre changes unpredictably. Possible styles include Rap, Pop, Break beats, Funk, Electronica, House, Bollywood etc.",137
1572,Time per dancer: 45–60 seconds to showcase their moves before the opponent responds.,137
1573,"Battles are conducted in a knockout format, leading to a Final Showdown.",137
1574,Judges select one dancer from each battle to advance to the next round.,137
1575,The knockout rounds continue until only two dancers remain for the final showdown.,137
1576,Final Showdown: The last two dancers compete in multiple rounds with surprise music transitions.,137
1577,Teams must consist of a minimum of 4 and a maximum of 15 members.,138
1578,All members of the team should individually register for the event,138
1579,Performance duration: 5+2 minutes (including stage setup and clearance).,138
1580,Dance styles encompass both Eastern and Western forms without separate categories.,138
1581,Teams must showcase their creativity and versatility within the given time frame.,138
1582,Use of props is allowed but should not cause stage damage.,138
1583,Any form of inappropriate content or offensive gestures will lead to disqualification.,138
1584,Individual participations only.,139
1585,Teams must report 30 minutes before their performance.,139
1586,Exceeding time limits may result in point deduction.,139
1587,All registered participants are eligible to perform in Round 1.,140
1588,Individual participations only.,140
1589,Participants can sing any song of their choice in any language in Round 1.,140
1590,"Karaoke track is allowed, but singing without a track is also permitted.",140
1591,Participants must report 30 minutes before their performance.,140
1592,Exceeding time limits may result in point deduction.,140
1593,Match Format: Knockout matches : 2–3 overs per side depending on registration.,141
1594,All members of the team should individually register for the event,141
1595,Each team shall consist of 8 players.,141
1596,Overs & Bowling Rule (1-1-1): Each bowler can bowl only 1 over.,141
1597,"All 8 players can bat. If 7 wickets fall, last batter may not continue.",141
1598,Boundary will be marked within 30 yards.,141
1599,Wide and No-ball will give 1 extra run + extra ball.,141
1600,The umpire's decision is final and binding.,141
1601,In case of tie: Super Over (1 over each); Higher boundary count if Super Over not possible.,141
1602,Misconduct or arguments with umpire may lead to disqualification.,141
1603,Participation is strictly in teams of 3–4 members.,142
1604,All members of the team should individually register for the event,142
1605,Each team is allowed to use only one laptop or desktop.,142
1606,"Total Duration: 2 Hours 20 Minutes (Briefing: 15 min, Investigation Rounds: 1 hr 45 min, Extra Time: 20 min).",142
1607,No external internet usage is allowed unless explicitly permitted by the organizers.,142
1608,Only approved tools and software may be used during the event.,142
1609,Tampering with event materials or setup is strictly prohibited.,142
1610,No communication between teams is allowed during the competition.,142
1611,Any form of misconduct will result in immediate disqualification.,142
1612,The decision of the organizers will be final and binding.,142
1613,Participation is strictly in teams of 2 members,143
1614,All members of the team should individually register for the event,143
1615,Players will sit opposite each other during the competition.,143
1616,One player acts as the Coder (sees screen and types); the other is the Guide (dictates logic without seeing the screen).,143
1617,"The Guide must not touch the keyboard, mouse or screen at any time.",143
1618,"No gestures, signs, written notes or non-verbal assistance are allowed.",143
1619,The programming language will be announced before the event begins.,143
1620,Code must be written strictly according to the given problem statement.,143
1621,Any violation of rules will result in immediate disqualification.,143
1622,Participants may register individually or in a team of maximum 2 members.,144
1623,Both rounds will strictly follow the Reverse Coding format.,144
1624,Internet access is strictly prohibited during the competition.,144
1625,"Use of mobile phones, AI tools, online resources or external assistance is not allowed.",144
1626,Any form of malpractice will lead to immediate disqualification.,144
1627,No refunds will be provided after payment.,144
1628,The event will be conducted in teams of 2–3 participants.,145
1629,All members of the team should individually register for the event,145
1630,Participants must explore only authorized areas.,145
1631,Internet access and external devices are strictly prohibited unless permitted by the organizers.,145
1632,"Participants must not alter system settings, delete files, or access restricted system areas.",145
1633,Any form of unfair means or clue sharing between teams will lead to immediate disqualification.,145
1634,No refunds will be provided after payment.,145
1635,Open to all undergraduate students of the institution.,146
1636,Team Consist of 3-4 members,146
1637,All members of the team should individually register for the event,146
1638,Participants must bring their own mobile phone or laptop with required editing software installed.,146
1639,The theme/product will be revealed only during the event.,146
1640,All content must be original and created during the competition time.,146
1641,No copyrighted or inappropriate content is allowed.,146
1642,Internet access is allowed only for royalty-free music or assets.,146
1643,Late submissions will not be accepted.,146
1644,Judges' decision will be final and binding.,146
1645,Each team must consist of a minimum of 2 and a maximum of 4 participants.,147
1646,All members of the team should individually register for the event,147
1647,Individual participation is not allowed.,147
1648,The robot must be fully autonomous; manual control during the run is strictly prohibited.,147
1649,Touching the robot during the run will result in penalties.,147
1650,"If the robot goes off the track, the team may place it back at the last checkpoint with a time penalty.",147
1651,The robot must fit within the specified size limits; all power supplies must be onboard.,147
1652,Teams must report to the venue on time; late entries may be disqualified.,147
1653,The decision of the judges will be final and binding.,147
1654,Each team must consist of exactly 2 members.,148
1655,All members of the team should individually register for the event,148
1656,Questions will be based on electronics concepts.,148
