id,content,event_id
435,Artistic Creativity,137
436,Musicality & Rhythm Adaptation,137
437,Stage Presence & Confidence,137
438,Crowd Engagement,137
439,Overall Entertainment Value,137
440,Expressions,138
441,Choreography,138
442,Synchronization & Impact,138
443,Costumes,138
444,Aptitude Test: Problem-solving ability and logical reasoning,139
445,"Public Speaking: Clarity, fluency and confidence",139
446,"Stress Interview: Creativity, presence of mind and ability to handle pressure",139
447,Voice quality,140
448,Pitch and rhythm,140
449,Stage confidence,140
450,Expression and creativity,140
451,Correctness of the code,143
452,Adherence to instructions,143
453,Successful execution within the time limit,143
454,Originality,146
455,Storytelling,146
456,Technical quality,146
457,Adherence to theme,146
458,Overall impact,146
459,Successful track completion,147
